date,symbol,momentum_20,fwd_ret_5d
2025-06-17,600519.SH,-0.025,-0.0107
2025-06-17,000858.SZ,-0.0113,-0.0054
2025-06-17,601318.SH,0.0032,0.0015
2025-06-17,600036.SH,-0.012,-0.0024
2025-06-17,000333.SZ,0.003,0.0027
2025-06-17,601166.SH,0.0178,0.0062
2025-06-17,000001.SZ,0.0021,-0.001
2025-06-17,600276.SH,0.0157,0.0037
2025-06-24,600519.SH,-0.0213,-0.0089
2025-06-24,000858.SZ,-0.0068,-0.002
2025-06-24,601318.SH,0.008,0.0046
2025-06-24,600036.SH,-0.007,-0.0008
2025-06-24,000333.SZ,0.0078,0.0027
2025-06-24,601166.SH,0.0221,0.006
2025-06-24,000001.SZ,0.0057,0.0002
2025-06-24,600276.SH,0.0183,0.0062
2025-07-01,600519.SH,-0.0168,-0.0055
2025-07-01,000858.SZ,-0.002,0.0011
2025-07-01,601318.SH,0.013,0.0062
2025-07-01,600036.SH,-0.0022,-0.0008
2025-07-01,000333.SZ,0.0121,0.0025
2025-07-01,601166.SH,0.0257,0.0072
2025-07-01,000001.SZ,0.0083,0.0027
2025-07-01,600276.SH,0.0197,0.0084
2025-07-08,600519.SH,-0.012,-0.0024
2025-07-08,000858.SZ,0.003,0.0027
2025-07-08,601318.SH,0.0178,0.0062
2025-07-08,600036.SH,0.0021,-0.001
2025-07-08,000333.SZ,0.0157,0.0037
2025-07-08,601166.SH,0.0283,0.0097
2025-07-08,000001.SZ,0.0097,0.0049
2025-07-08,600276.SH,0.0199,0.0089
2025-07-15,600519.SH,-0.007,-0.0008
2025-07-15,000858.SZ,0.0078,0.0027
2025-07-15,601318.SH,0.0221,0.006
2025-07-15,600036.SH,0.0057,0.0002
2025-07-15,000333.SZ,0.0183,0.0062
2025-07-15,601166.SH,0.0297,0.0119
2025-07-15,000001.SZ,0.0099,0.0054
2025-07-15,600276.SH,0.0189,0.0071
2025-07-22,600519.SH,-0.0022,-0.0008
2025-07-22,000858.SZ,0.0121,0.0025
2025-07-22,601318.SH,0.0257,0.0072
2025-07-22,600036.SH,0.0083,0.0027
2025-07-22,000333.SZ,0.0197,0.0084
2025-07-22,601166.SH,0.0299,0.0124
2025-07-22,000001.SZ,0.0089,0.0036
2025-07-22,600276.SH,0.0167,0.0045
2025-07-29,600519.SH,0.0021,-0.001
2025-07-29,000858.SZ,0.0157,0.0037
2025-07-29,601318.SH,0.0283,0.0097
2025-07-29,600036.SH,0.0097,0.0049
2025-07-29,000333.SZ,0.0199,0.0089
2025-07-29,601166.SH,0.0289,0.0106
2025-07-29,000001.SZ,0.0067,0.001
2025-07-29,600276.SH,0.0135,0.0028
2025-08-05,600519.SH,0.0057,0.0002
2025-08-05,000858.SZ,0.0183,0.0062
2025-08-05,601318.SH,0.0297,0.0119
2025-08-05,600036.SH,0.0099,0.0054
2025-08-05,000333.SZ,0.0189,0.0071
2025-08-05,601166.SH,0.0267,0.008
2025-08-05,000001.SZ,0.0035,-0.0007
2025-08-05,600276.SH,0.0094,0.0025
